Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,X1v1,X1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade.,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,X2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,X.PassFwd,Pass.,PsCmpM3,PsCmpA3,PsCmpD3,PsAttD3,PsAttM3,Pull.Back.Passes.Completed,PsDist,ChlngeLost,Aerial.,Aerials,ExpGAg
9,27,7ehcrcdv82ib5fkpo3498gpgp,244929,1974,23,Left Back,Kwame,Awuah,K. Awuah,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,5,0,1,0,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,159,59,1050,363,469,0.21,0,5,3.45,0,5,0,29,29,61,4,0,132,27,0,0,1665,143,19,43,41,131,80.50%,20,9,162,15,3,12,4,7,11,3,0,0,0,0,0,0,18,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,16,50,479,372,814,27,38.20%,79.20%,489,198,145,204,588,0,16.6,15,45.70%,46,0
73,26,6pi1u2mdt56ns3pqkdjp772s5,245004,1497,24,Left Attacking Midfielder,Christopher,Nanco,C. Nanco,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),7,11,2,12,10,2,2,3,13,6,0,0,0,0,4,0,4,0,0,2,2,2,5,18,87,19,387,69,212,2.32,4,2,2.51,2,6,0,21,21,76,10,3,72,23,1,1,773,147,13,8,13,41,51.20%,6,2,89,12,5,9,4,2,14,14,0,0,0,0,0,0,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,24,50,453,63,257,76,27.10%,72.60%,107,156,18,31,146,2,15,20,36.40%,22,0
11,24,3uxa33px113otw58gni3g72l1,151937,2004,28,Left Back,Blake,Smith,B. Smith,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,2,0,0,0,0,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,136,65,1063,509,353,0.29,0,5,2.81,0,5,2,18,20,15,0,0,87,9,0,0,1602,68,9,26,43,137,74.50%,53,22,145,2,7,14,3,12,9,3,0,0,0,0,0,0,41,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,0,11,317,564,721,12,40.20%,81.10%,463,119,280,360,554,0,17.8,12,53.80%,39,0
116,8,7y21qqftugy5rfncz7atrue7e,484561,678,24,Left Centre Back,Duran,Lee,D. Lee,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,24,274,160,52,0.05,0,0,0.23,0,1,0,1,1,6,0,0,40,4,0,0,385,30,4,24,9,60,96.60%,21,11,50,0,8,10,0,3,1,0,0,0,0,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,3,13,260,112,2,48.50%,77.40%,73,2,137,177,92,0,20.4,1,33.30%,12,0
80,18,6ptroe7b9vgzimcvzo2fehcr9,167890,1301,24,Centre Forward,Michael,Petrasso,M. Petrasso,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,3,0,13,8,5,7,2,11,7,4,4,0,0,5,1,2,0,0,0,0,6,1,23,69,11,383,91,212,6.57,6,5,3.78,8,4,2,20,22,63,6,2,62,30,1,0,676,85,2,6,3,21,57.10%,7,2,51,10,0,4,5,4,10,10,0,0,0,0,0,0,30,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28,26,392,52,232,68,21.10%,79.10%,129,155,19,26,158,1,14.4,6,18.50%,27,0
26,24,83d29e64znddf9kkyo62u4g6h,424288,1850,20,Central Midfielder,Noah,Verhoeven,N. Verhoeven,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),4,3,0,5,1,4,0,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,133,42,918,344,399,1.44,0,1,3.17,2,5,9,16,25,50,0,0,87,22,4,2,1319,105,7,19,12,47,54.20%,9,2,134,5,1,11,4,2,25,1,0,0,1,0,0,0,39,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,8,27,353,218,748,15,35.20%,80.90%,495,134,114,160,595,0,17.2,22,36.00%,25,0
97,15,8v158n3stjodma3bjlj4yg639,124576,969,29,Right Back,Kareem,Moses,K. Moses,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,4,0,1,0,1,2,1,8,1,0,0,0,0,0,0,0,0,6,0,0,0,0,3,65,27,374,152,130,0.76,0,0,0.19,0,0,2,2,4,6,1,1,80,6,0,0,578,29,9,15,14,64,80.00%,26,16,48,7,2,3,2,10,8,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,1,104,218,256,18,44.70%,75.40%,158,33,91,123,206,0,19.8,6,71.10%,45,0
131,9,btd38hasv7hxy5bw4g43ymhyi,447302,363,19,Left Back,Monti,Mohsen,M. Mohsen,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,5,0,1,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,0,4,0,21,4,111,37,49,0.15,1,0,0.63,0,1,1,3,4,10,0,0,26,4,0,0,243,36,4,5,5,23,47.40%,6,3,10,0,6,3,1,2,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,82,55,106,3,31.50%,77.50%,46,25,15,21,55,0,16.8,10,45.50%,11,0
92,20,awlwtcxwgucwrkpb5lmsqlzsa,481761,1180,24,Centre Attacking Midfielder,Kodai,Iida,K. Iida,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),6,8,0,6,4,2,3,5,5,3,0,0,2,0,0,1,1,0,0,0,1,0,5,6,72,17,361,90,182,1.48,1,2,1.38,2,1,6,13,19,43,1,0,73,21,0,0,606,65,5,8,7,21,65.00%,1,1,56,6,0,7,15,8,12,8,0,0,0,0,0,0,15,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,10,18,270,54,282,25,31.90%,75.30%,157,93,22,30,200,0,15.5,7,23.50%,17,0
101,25,c0bz7h3es1ym0n5he0l4ntzop,172568,1397,23,Centre Forward,Jordan,Brown,J. Brown,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),5,10,2,13,11,2,8,5,16,4,0,0,0,0,3,1,3,1,6,1,1,2,6,16,65,9,299,76,149,7.07,4,1,3.13,9,6,3,14,17,33,2,1,67,13,0,0,542,125,11,15,2,32,59.10%,4,2,58,16,1,17,5,0,2,5,0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,12,23,293,32,217,69,21.40%,75.30%,128,84,13,16,156,0,13,18,34.40%,61,0
